S_0,v_0,kappa,theta,gamma,rho,r,K,T,EEP
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,90,0.5,0.0826174451164036
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,95,0.5,0.1624943564782524
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,100,0.5,0.2918685525863678
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,105,0.5,0.4830814919734534
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,110,0.5,0.7436312361537887
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,90,0.75,0.1683749403712084
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,95,0.75,0.3056381359139788
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,100,0.75,0.5132921904082499
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,105,0.75,0.8034994360478578
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,110,0.75,1.1811753865885637
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,90,1.0,0.2627129474442689
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,95,1.0,0.4561274297189626
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,100,1.0,0.738125660815597
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,105,1.0,1.1207342853094868
100.0,0.0992644840256016,4.322939634910055,0.0158544688054651,0.0973713766902586,-0.9165792037277872,0.041013188861177,110,1.0,1.6070887399091234
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,90,0.5,0.0821299264901596
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,95,0.5,0.1889274163312762
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,100,0.5,0.4024555394150844
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,105,0.5,0.8055885609554965
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,110,0.5,1.5487432186130228
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,90,0.75,0.1728909365207074
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,95,0.75,0.3326772912241402
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,100,0.75,0.6092859318206898
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,105,0.75,1.0726742770957856
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,110,0.75,1.8395904082884709
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,90,1.0,0.2812646124609212
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,95,1.0,0.4903265343132741
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,100,1.0,0.8224127880523193
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,105,1.0,1.3377134471766094
100.0,0.0329427924715486,1.3647164008696415,0.0813297569404967,0.0623229737242006,-0.912336757855532,0.0978163026648949,110,1.0,2.1368813312001897
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,90,0.5,0.0370700631176954
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,95,0.5,0.0663531722728514
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,100,0.5,0.1113516480558791
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,105,0.5,0.1766805862185112
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,110,0.5,0.2672096538501982
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,90,0.75,0.0736347363874232
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,95,0.75,0.1187866942245943
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,100,0.75,0.1827107362064595
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,105,0.75,0.2696803787763553
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,110,0.75,0.3841106711717259
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,90,1.0,0.1169940862839933
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,95,1.0,0.1781035480375994
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,100,1.0,0.2604533351484335
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,105,1.0,0.3681245983641972
100.0,0.0771672691014886,0.5626036029105228,0.0644543647137445,0.0650023060762103,-0.552953500416572,0.0278692727098521,110,1.0,0.5052582223605278
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,90,0.5,0.0495768779004224
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,95,0.5,0.1107094833989745
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,100,0.5,0.2255972960674386
100.0,0.0319078734435377,1.50359823273629,0.0830444145860176,0.0603324555349298,-0.4371912096177285,0.0592096106244175,105,0.5,0.4263456469157809
